Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABC
1,121,M,Mark,ABC
1,109,F,Mark,ABC
1,112,M,Mark,ABC
1,107,F,Mark,ABC
2,105,F,Mark,ABC
2,114,M,Mark,ABC
2,108,M,Mark,ABC
2,137,M,Mark,ABC
2,138,F,Mark,ABC
1,101,F,Mark,ABC
1,124,F,Mark,ABC
1,132,M,Mark,ABC
1,112,F,Mark,ABC
1,127,F,Mark,ABC
2,130,F,Mark,ABC
2,143,F,Mark,ABC
2,111,F,Mark,ABC
2,112,F,Recap,ABC
1,115,F,Mark,ABC
1,139,F,Mark,ABC
1,128,M,Mark,ABC
1,131,NA,Mark,ABC
2,136,F,Mark,ABC
2,130,M,Mark,ABC
2,128,M,Recap,ABC
2,106,F,Mark,ABC
2,100,M,Mark,ABC
