Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABD
1,121,M,Mark,ABD
1,109,F,Mark,ABD
1,112,M,Mark,ABD
1,107,F,Mark,ABD
2,105,F,Mark,ABD
2,114,M,Mark,ABD
2,108,M,Mark,ABD
2,137,M,Recap,ABD
2,138,F,Mark,ABD
1,101,F,Mark,ABD
1,124,F,Mark,ABD
1,132,M,Mark,ABD
1,112,F,Mark,ABD
1,127,F,Mark,ABD
2,130,F,Mark,ABD
2,143,F,Recap,ABD
2,111,F,Mark,ABD
2,112,F,Recap,ABD
1,104,F,Mark,ABD
1,143,F,Mark,ABD
1,144,M,Mark,ABD
1,137,F,Mark,ABD
1,141,F,Mark,ABD
2,131,F,Mark,ABD
2,144,M,Recap,ABD
2,139,F,Mark,ABD
2,109,F,Recap,ABD
2,110,F,Mark,ABD
