Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABE
1,121,M,Mark,ABE
1,109,F,Mark,ABE
1,112,M,Mark,ABE
1,107,F,Mark,ABE
2,105,F,Mark,ABE
2,114,M,Recap,ABE
2,108,M,Recap,ABE
2,137,M,Mark,ABE
2,138,F,Recap,ABE
1,101,F,Mark,ABE
1,124,F,Mark,ABE
1,132,M,Mark,ABE
1,112,F,Mark,ABE
1,127,F,Mark,ABE
2,130,F,Mark,ABE
2,143,F,Recap,ABE
2,111,F,Mark,ABE
2,112,F,Recap,ABE
1,108,M,Mark,ABE
1,102,F,Mark,ABE
1,138,M,Mark,ABE
1,143,F,Mark,ABE
1,114,F,Mark,ABE
2,122,M,Mark,ABE
2,117,M,Mark,ABE
2,113,M,Mark,ABE
2,129,F,Mark,ABE
