Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ACD
1,121,M,Mark,ACD
1,109,F,Mark,ACD
1,112,M,Mark,ACD
1,107,F,Mark,ACD
2,105,F,Mark,ACD
2,114,M,Mark,ACD
2,108,M,Mark,ACD
2,137,M,Recap,ACD
2,138,F,Mark,ACD
1,115,F,Mark,ACD
1,139,F,Mark,ACD
1,128,M,Mark,ACD
1,131,NA,Mark,ACD
2,136,F,Mark,ACD
2,130,M,Mark,ACD
2,128,M,Recap,ACD
2,106,F,Mark,ACD
2,100,M,Mark,ACD
1,104,F,Mark,ACD
1,143,F,Mark,ACD
1,144,M,Mark,ACD
1,137,F,Mark,ACD
1,141,F,Mark,ACD
2,131,F,Recap,ACD
2,144,M,Recap,ACD
2,139,F,Recap,ACD
2,109,F,Recap,ACD
2,110,F,Mark,ACD
