Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ACE
1,121,M,Mark,ACE
1,109,F,Mark,ACE
1,112,M,Mark,ACE
1,107,F,Mark,ACE
2,105,F,Mark,ACE
2,114,M,Recap,ACE
2,108,M,Recap,ACE
2,137,M,Mark,ACE
2,138,F,Recap,ACE
1,115,F,Mark,ACE
1,139,F,Mark,ACE
1,128,M,Mark,ACE
1,131,NA,Mark,ACE
2,136,F,Mark,ACE
2,130,M,Mark,ACE
2,128,M,Recap,ACE
2,106,F,Mark,ACE
2,100,M,Mark,ACE
1,108,M,Mark,ACE
1,102,F,Mark,ACE
1,138,M,Mark,ACE
1,143,F,Mark,ACE
1,114,F,Mark,ACE
2,122,M,Mark,ACE
2,117,M,Mark,ACE
2,113,M,Mark,ACE
2,129,F,Mark,ACE
