Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ADE
1,121,M,Mark,ADE
1,109,F,Mark,ADE
1,112,M,Mark,ADE
1,107,F,Mark,ADE
2,105,F,Mark,ADE
2,114,M,Recap,ADE
2,108,M,Recap,ADE
2,137,M,Recap,ADE
2,138,F,Recap,ADE
1,104,F,Mark,ADE
1,143,F,Mark,ADE
1,144,M,Mark,ADE
1,137,F,Mark,ADE
1,141,F,Mark,ADE
2,131,F,Mark,ADE
2,144,M,Recap,ADE
2,139,F,Mark,ADE
2,109,F,Recap,ADE
2,110,F,Mark,ADE
1,108,M,Mark,ADE
1,102,F,Mark,ADE
1,138,M,Mark,ADE
1,114,F,Mark,ADE
2,122,M,Mark,ADE
2,117,M,Mark,ADE
2,113,M,Mark,ADE
2,129,F,Mark,ADE
