Period,Mark_Number,sex,Capture_Status,Team_combo
1,101,F,Mark,BCD
1,124,F,Mark,BCD
1,132,M,Mark,BCD
1,112,F,Mark,BCD
1,127,F,Mark,BCD
2,108,M,Mark,BCD
2,130,F,Mark,BCD
2,143,F,Recap,BCD
2,111,F,Mark,BCD
2,112,F,Recap,BCD
1,115,F,Mark,BCD
1,139,F,Mark,BCD
1,128,M,Mark,BCD
1,131,NA,Mark,BCD
1,142,M,Mark,BCD
2,136,F,Mark,BCD
2,130,M,Mark,BCD
2,128,M,Recap,BCD
2,106,F,Mark,BCD
2,100,M,Mark,BCD
1,104,F,Mark,BCD
1,143,F,Mark,BCD
1,144,M,Mark,BCD
1,137,F,Mark,BCD
1,141,F,Mark,BCD
2,131,F,Recap,BCD
2,144,M,Recap,BCD
2,139,F,Recap,BCD
2,109,F,Mark,BCD
2,110,F,Mark,BCD
