Period,Mark_Number,sex,Capture_Status,Team_combo
1,101,F,Mark,BCE
1,124,F,Mark,BCE
1,132,M,Mark,BCE
1,112,F,Mark,BCE
1,127,F,Mark,BCE
2,108,M,Recap,BCE
2,130,F,Mark,BCE
2,143,F,Recap,BCE
2,111,F,Mark,BCE
2,112,F,Recap,BCE
1,115,F,Mark,BCE
1,139,F,Mark,BCE
1,128,M,Mark,BCE
1,131,NA,Mark,BCE
1,142,M,Mark,BCE
2,136,F,Mark,BCE
2,130,M,Mark,BCE
2,128,M,Recap,BCE
2,106,F,Mark,BCE
2,100,M,Mark,BCE
1,108,M,Mark,BCE
1,102,F,Mark,BCE
1,138,M,Mark,BCE
1,143,F,Mark,BCE
1,114,F,Mark,BCE
2,122,M,Mark,BCE
2,117,M,Mark,BCE
2,113,M,Mark,BCE
2,105,F,Mark,BCE
2,129,F,Mark,BCE
