Period,Mark_Number,sex,Capture_Status,Team_combo
1,101,F,Mark,BDE
1,124,F,Mark,BDE
1,132,M,Mark,BDE
1,112,F,Mark,BDE
1,127,F,Mark,BDE
2,108,M,Recap,BDE
2,130,F,Mark,BDE
2,143,F,Recap,BDE
2,111,F,Mark,BDE
2,112,F,Recap,BDE
1,104,F,Mark,BDE
1,143,F,Mark,BDE
1,144,M,Mark,BDE
1,137,F,Mark,BDE
1,141,F,Mark,BDE
2,131,F,Mark,BDE
2,144,M,Recap,BDE
2,139,F,Mark,BDE
2,109,F,Mark,BDE
2,110,F,Mark,BDE
1,108,M,Mark,BDE
1,102,F,Mark,BDE
1,138,M,Mark,BDE
1,114,F,Mark,BDE
2,122,M,Mark,BDE
2,117,M,Mark,BDE
2,113,M,Mark,BDE
2,105,F,Mark,BDE
2,129,F,Mark,BDE
