Period,Mark_Number,sex,Capture_Status,Team_combo
1,115,F,Mark,CDE
1,139,F,Mark,CDE
1,128,M,Mark,CDE
1,131,NA,Mark,CDE
1,142,M,Mark,CDE
2,136,F,Mark,CDE
2,130,M,Mark,CDE
2,128,M,Recap,CDE
2,106,F,Mark,CDE
2,100,M,Mark,CDE
1,104,F,Mark,CDE
1,143,F,Mark,CDE
1,144,M,Mark,CDE
1,137,F,Mark,CDE
1,141,F,Mark,CDE
2,131,F,Recap,CDE
2,144,M,Recap,CDE
2,139,F,Recap,CDE
2,109,F,Mark,CDE
2,110,F,Mark,CDE
1,108,M,Mark,CDE
1,102,F,Mark,CDE
1,138,M,Mark,CDE
1,114,F,Mark,CDE
2,122,M,Mark,CDE
2,117,M,Mark,CDE
2,113,M,Mark,CDE
2,105,F,Mark,CDE
2,129,F,Mark,CDE
