Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABCD
1,121,M,Mark,ABCD
1,109,F,Mark,ABCD
1,112,M,Mark,ABCD
1,107,F,Mark,ABCD
2,105,F,Mark,ABCD
2,114,M,Mark,ABCD
2,108,M,Mark,ABCD
2,137,M,Recap,ABCD
2,138,F,Mark,ABCD
1,101,F,Mark,ABCD
1,124,F,Mark,ABCD
1,132,M,Mark,ABCD
1,112,F,Mark,ABCD
1,127,F,Mark,ABCD
2,130,F,Mark,ABCD
2,143,F,Recap,ABCD
2,111,F,Mark,ABCD
2,112,F,Recap,ABCD
1,115,F,Mark,ABCD
1,139,F,Mark,ABCD
1,128,M,Mark,ABCD
1,131,NA,Mark,ABCD
2,136,F,Mark,ABCD
2,130,M,Mark,ABCD
2,128,M,Recap,ABCD
2,106,F,Mark,ABCD
2,100,M,Mark,ABCD
1,104,F,Mark,ABCD
1,143,F,Mark,ABCD
1,144,M,Mark,ABCD
1,137,F,Mark,ABCD
1,141,F,Mark,ABCD
2,131,F,Recap,ABCD
2,144,M,Recap,ABCD
2,139,F,Recap,ABCD
2,109,F,Recap,ABCD
2,110,F,Mark,ABCD
