Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABCE
1,121,M,Mark,ABCE
1,109,F,Mark,ABCE
1,112,M,Mark,ABCE
1,107,F,Mark,ABCE
2,105,F,Mark,ABCE
2,114,M,Recap,ABCE
2,108,M,Recap,ABCE
2,137,M,Mark,ABCE
2,138,F,Recap,ABCE
1,101,F,Mark,ABCE
1,124,F,Mark,ABCE
1,132,M,Mark,ABCE
1,112,F,Mark,ABCE
1,127,F,Mark,ABCE
2,130,F,Mark,ABCE
2,143,F,Recap,ABCE
2,111,F,Mark,ABCE
2,112,F,Recap,ABCE
1,115,F,Mark,ABCE
1,139,F,Mark,ABCE
1,128,M,Mark,ABCE
1,131,NA,Mark,ABCE
2,136,F,Mark,ABCE
2,130,M,Mark,ABCE
2,128,M,Recap,ABCE
2,106,F,Mark,ABCE
2,100,M,Mark,ABCE
1,108,M,Mark,ABCE
1,102,F,Mark,ABCE
1,138,M,Mark,ABCE
1,143,F,Mark,ABCE
1,114,F,Mark,ABCE
2,122,M,Mark,ABCE
2,117,M,Mark,ABCE
2,113,M,Mark,ABCE
2,129,F,Mark,ABCE
