Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ACDE
1,121,M,Mark,ACDE
1,109,F,Mark,ACDE
1,112,M,Mark,ACDE
1,107,F,Mark,ACDE
2,105,F,Mark,ACDE
2,114,M,Recap,ACDE
2,108,M,Recap,ACDE
2,137,M,Recap,ACDE
2,138,F,Recap,ACDE
1,115,F,Mark,ACDE
1,139,F,Mark,ACDE
1,128,M,Mark,ACDE
1,131,NA,Mark,ACDE
2,136,F,Mark,ACDE
2,130,M,Mark,ACDE
2,128,M,Recap,ACDE
2,106,F,Mark,ACDE
2,100,M,Mark,ACDE
1,104,F,Mark,ACDE
1,143,F,Mark,ACDE
1,144,M,Mark,ACDE
1,137,F,Mark,ACDE
1,141,F,Mark,ACDE
2,131,F,Recap,ACDE
2,144,M,Recap,ACDE
2,139,F,Recap,ACDE
2,109,F,Recap,ACDE
2,110,F,Mark,ACDE
1,108,M,Mark,ACDE
1,102,F,Mark,ACDE
1,138,M,Mark,ACDE
1,114,F,Mark,ACDE
2,122,M,Mark,ACDE
2,117,M,Mark,ACDE
2,113,M,Mark,ACDE
2,129,F,Mark,ACDE
