Period,Mark_Number,sex,Capture_Status,Team_combo
1,142,M,Mark,ABCDE
1,121,M,Mark,ABCDE
1,109,F,Mark,ABCDE
1,112,M,Mark,ABCDE
1,107,F,Mark,ABCDE
2,105,F,Mark,ABCDE
2,114,M,Recap,ABCDE
2,108,M,Recap,ABCDE
2,137,M,Recap,ABCDE
2,138,F,Recap,ABCDE
1,101,F,Mark,ABCDE
1,124,F,Mark,ABCDE
1,132,M,Mark,ABCDE
1,112,F,Mark,ABCDE
1,127,F,Mark,ABCDE
2,130,F,Mark,ABCDE
2,143,F,Recap,ABCDE
2,111,F,Mark,ABCDE
2,112,F,Recap,ABCDE
1,115,F,Mark,ABCDE
1,139,F,Mark,ABCDE
1,128,M,Mark,ABCDE
1,131,NA,Mark,ABCDE
2,136,F,Mark,ABCDE
2,130,M,Mark,ABCDE
2,128,M,Recap,ABCDE
2,106,F,Mark,ABCDE
2,100,M,Mark,ABCDE
1,104,F,Mark,ABCDE
1,143,F,Mark,ABCDE
1,144,M,Mark,ABCDE
1,137,F,Mark,ABCDE
1,141,F,Mark,ABCDE
2,131,F,Recap,ABCDE
2,144,M,Recap,ABCDE
2,139,F,Recap,ABCDE
2,109,F,Recap,ABCDE
2,110,F,Mark,ABCDE
1,108,M,Mark,ABCDE
1,102,F,Mark,ABCDE
1,138,M,Mark,ABCDE
1,114,F,Mark,ABCDE
2,122,M,Mark,ABCDE
2,117,M,Mark,ABCDE
2,113,M,Mark,ABCDE
2,129,F,Mark,ABCDE
